dataset,seed,n_edits,msr_preservation,euclidean_preservation,delta_preservation,msr_structural_cost,euclidean_structural_cost,delta_structural_cost,msr_relative_param_change,euclidean_relative_param_change,delta_relative_param_change,msr_logit_drift,euclidean_logit_drift,delta_logit_drift,msr_preservation_kl,euclidean_preservation_kl,delta_preservation_kl
wine,19,10,0.25,0.09090909361839294,0.15909090638160706,33.499420166015625,39.607791900634766,-6.108371734619141,0.8208117485046387,0.5378110408782959,0.2830007076263428,26.745630264282227,30.1163387298584,-3.370708465576172,1.074583888053894,1.3073786497116089,-0.23279476165771484
wine,31,1,0.8867924809455872,0.9056603908538818,-0.018867909908294678,18.15311050415039,19.629411697387695,-1.4763011932373047,0.4496413469314575,0.28750184178352356,0.16213950514793396,8.435698509216309,8.397187232971191,0.03851127624511719,0.21431700885295868,0.18291378021240234,0.031403228640556335
wine,31,5,0.5102040767669678,0.3469387888908386,0.16326528787612915,29.93431854248047,36.0631103515625,-6.128791809082031,0.6890163421630859,0.49286216497421265,0.1961541771888733,20.123477935791016,22.129060745239258,-2.005582809448242,0.7520453929901123,0.8806580305099487,-0.12861263751983643
wine,31,10,0.4318181872367859,0.3181818127632141,0.11363637447357178,31.689144134521484,37.01935577392578,-5.330211639404297,0.7077739834785461,0.5134775638580322,0.19429641962051392,23.350065231323242,24.147621154785156,-0.7975559234619141,0.9713327884674072,1.0460546016693115,-0.0747218132019043
breast_cancer,7,1,0.970588207244873,0.9058823585510254,0.06470584869384766,12.796772003173828,26.183591842651367,-13.386819839477539,0.21915866434574127,0.17671793699264526,0.04244072735309601,6.079540252685547,18.039487838745117,-11.95994758605957,0.05648082122206688,0.1555316150188446,-0.09905079379677773
breast_cancer,7,5,0.6024096608161926,0.4277108311653137,0.1746988296508789,29.78044891357422,39.64149856567383,-9.86104965209961,0.46717649698257446,0.25706082582473755,0.21011567115783691,38.14435577392578,45.3184928894043,-7.174137115478516,0.7959474325180054,1.0561143159866333,-0.26016688346862793
breast_cancer,7,10,0.38509318232536316,0.27950310707092285,0.10559007525444031,36.450172424316406,46.88859176635742,-10.438419342041016,0.6640288233757019,0.297076553106308,0.3669522702693939,47.411407470703125,48.364990234375,-0.953582763671875,1.1352864503860474,1.0517827272415161,0.08350372314453125
breast_cancer,19,1,0.7882353067398071,0.7470588088035583,0.04117649793624878,19.77406120300293,28.691709518432617,-8.917648315429688,0.3246144950389862,0.21331101655960083,0.11130347847938538,23.930274963378906,27.321880340576172,-3.3916053771972656,0.5162995457649231,0.5112736225128174,0.005025923252105713
breast_cancer,19,5,0.5120481848716736,0.5722891688346863,-0.060240983963012695,26.748376846313477,31.31743621826172,-4.569059371948242,0.4234373867511749,0.22866469621658325,0.19477269053459167,37.94838333129883,35.216373443603516,2.7320098876953125,1.2229533195495605,0.894930362701416,0.32802295684814453
breast_cancer,19,10,0.3913043439388275,0.3478260934352875,0.04347825050354004,30.813133239746094,35.880767822265625,-5.067634582519531,0.47735485434532166,0.24676811695098877,0.23058673739433289,40.786258697509766,42.473819732666016,-1.68756103515625,1.3128814697265625,1.3704191446304321,-0.05753767490386963
breast_cancer,31,1,0.5470588207244873,0.4588235318660736,0.0882352888584137,25.905109405517578,37.056129455566406,-11.151020050048828,0.5341747403144836,0.2486364096403122,0.28553833067417145,36.260772705078125,39.538238525390625,-3.2774658203125,1.333630084991455,1.261690616607666,0.07193946838378906
breast_cancer,31,5,0.41566264629364014,0.46987950801849365,-0.054216861724853516,38.98469543457031,41.74006652832031,-2.75537109375,0.5356878042221069,0.25702792406082153,0.2786598801612854,40.11259841918945,39.055519104003906,1.0570793151855469,1.2839951515197754,1.093671441078186,0.19032371044158936
breast_cancer,31,10,0.22360248863697052,0.23602484166622162,-0.012422353029251099,40.49715042114258,43.43064880371094,-2.9334983825683594,0.5696139335632324,0.28464388847351074,0.2849700450897217,45.875953674316406,45.84178161621094,0.03417205810546875,1.5017188787460327,1.4735188484191895,0.02820003032684326
