dataset,n_edits,method,edit_success_mean,edit_success_std,preservation_mean,preservation_std,preserve_accuracy_mean,preserve_accuracy_std,logit_drift_mean,logit_drift_std,preservation_kl_mean,preservation_kl_std,relative_param_change_mean,relative_param_change_std,structural_cost_mean,structural_cost_std,runtime_s_mean,runtime_s_std
breast_cancer,10,EWC,1.0,0.0,0.10351967066526413,0.007172053167001398,0.09316769987344742,0.012422360479831696,84.09603627522786,10.8755358223929,5.378480116526286,0.6854106432701587,0.6371649106343588,0.043167718216208496,38.898145039876304,1.6545978788524855,0.07231623799983329,0.045058388487461534
breast_cancer,10,Euclidean-MSR,1.0,0.0,0.287784680724144,0.05635883534028012,0.260869562625885,0.07530655733174466,45.56019719441732,2.9556623301722333,1.2985735734303792,0.2198560405180938,0.2761628528436025,0.02620459236689797,42.06666946411133,5.629242997523833,0.03856307433337255,0.006506141336600566
breast_cancer,10,FT,1.0,0.0,0.09523809452851613,0.009487732908959576,0.08902691553036372,0.009487736160659533,88.75479380289714,13.66723116805393,5.809869607289632,0.9175058223066812,0.6912627617518107,0.04685894428409261,45.93028132120768,4.445172124344563,0.052882235333375625,0.00421672584049329
breast_cancer,10,L2-SP,1.0,0.0,0.10351967066526413,0.0189754690696189,0.08902691304683685,0.007172053167001398,79.31275431315105,6.979929809648052,4.927042802174886,0.4477115997313686,0.5611799756685892,0.05308027815164445,42.11480967203776,3.0258651429135717,0.07601653933352281,0.026575263075111787
breast_cancer,10,MSR,1.0,0.0,0.3333333383003871,0.0950804352011424,0.3064182202021281,0.10941789106500899,44.69120661417643,3.4678333674095567,1.3166289329528809,0.18324495558929693,0.570332537094752,0.09333905919638079,35.920152028401695,4.863716522111436,0.04270099766654312,0.006020865524220063
digits,1,EWC,1.0,0.0,0.8911564747492472,0.055668944965343664,0.8744588692982992,0.06098039528895254,4.500253001848857,3.6012900171697884,0.9082356542348862,0.789487830334119,0.28795986374219257,0.07478376122943647,23.77052116394043,7.562574164844987,0.05294597733336559,0.011257431208099637
digits,1,Euclidean-MSR,1.0,0.0,0.9919604261716207,0.01087098898811171,0.9709338347117106,0.013675516553864146,0.20966175474071255,0.3236553628302002,0.013834714666397,0.02230609138995775,0.02904330116386215,0.027046039295261295,3.9465686877568564,4.099283142240194,0.009021100666662582,0.0070307197298287
digits,1,FT,1.0,0.0,0.8565244277318319,0.06733781574449231,0.8441558480262756,0.07348906676829749,6.913188298543294,4.655473579288195,1.1670118470986683,0.908589486329628,0.39512606461842853,0.09013515530736449,39.54903920491537,7.968319172917239,0.035540446333319174,0.0036544914573433847
digits,1,L2-SP,1.0,0.0,0.9004328846931458,0.05027566042657491,0.8868274490038554,0.053482511753844164,4.097547292709351,3.429810742379249,0.8437422215938568,0.777205309044774,0.24846806625525156,0.07001718939310692,24.8669007619222,7.637920244790645,0.04870839999997164,0.008342394885629413
digits,1,MSR,1.0,0.0,0.9931972622871399,0.010218134436659728,0.9709338347117106,0.015448359690791695,0.19276889285538346,0.29874892126492747,0.012354563628226364,0.02009758022774059,0.04097056326766809,0.03985769207756885,2.9430615405241647,3.159407302770111,0.00500938199987407,0.0002253675948943588
digits,5,EWC,1.0,0.0,0.6822429895401001,0.08743187989758974,0.6785046656926473,0.08583895608668048,10.482712586720785,2.938906822919322,2.323082605997721,0.8954503793792755,0.42516093452771503,0.017500710053251205,39.011339823404946,1.9138042938221786,0.058120175000112795,0.015381445813757853
digits,5,Euclidean-MSR,1.0,0.0,0.945794403553009,0.026168227195739746,0.9339563846588135,0.027236743501983615,1.1601370573043823,0.42240327939449435,0.1050652451813221,0.04913895092369724,0.09704770147800446,0.011601207266375617,13.197238604227701,2.0651110351575928,0.015907202999793906,0.010634042296007144
