edit_success,min_target_margin,preservation,preserve_accuracy,logit_drift,preservation_kl,relative_param_change,structural_cost,collateral_changes,dataset,seed,n_edits,method,beta,margin,iterations,runtime_s
1.0,0.8679118156433105,0.9058823585510254,0.9235293865203857,18.039487838745117,0.1555316150188446,0.17671793699264526,26.183591842651367,16,breast_cancer,7,1,Euclidean-MSR,,0.75,3,0.004124529000364419
1.0,0.7504912614822388,0.970588207244873,0.9647058844566345,6.079540252685547,0.05648082122206688,0.21915866434574127,12.796772003173828,5,breast_cancer,7,1,MSR,8.0,0.75,4,0.005248600999948394
1.0,7.20234489440918,0.19879518449306488,0.21686747670173645,109.10689544677734,7.575986385345459,0.5898823142051697,42.401710510253906,133,breast_cancer,7,5,FT,,0.75,22,0.03993864799986113
1.0,5.949750900268555,0.19879518449306488,0.21686747670173645,95.07723999023438,6.367746353149414,0.501623272895813,39.212364196777344,133,breast_cancer,7,5,L2-SP,,0.75,22,0.04888634400003866
1.0,6.835695743560791,0.20481927692890167,0.22289156913757324,102.87074279785156,7.045158863067627,0.5479357838630676,35.91158676147461,132,breast_cancer,7,5,EWC,,0.75,22,0.05953893900004914
1.0,0.7500001788139343,0.4277108311653137,0.4457831382751465,45.3184928894043,1.0561143159866333,0.25706082582473755,39.64149856567383,95,breast_cancer,7,5,Euclidean-MSR,,0.75,5,0.023611090000031254
1.0,0.7499999403953552,0.6024096608161926,0.608433723449707,38.14435577392578,0.7959474325180054,0.46717649698257446,29.78044891357422,66,breast_cancer,7,5,MSR,8.0,0.75,10,0.039222696000251744
1.0,0.23992350697517395,0.09316769987344742,0.09937888383865356,103.4358139038086,6.520388603210449,0.7193887233734131,50.79283142089844,146,breast_cancer,7,10,FT,,0.75,31,0.05720046499982345
1.0,0.5091947913169861,0.08695652335882187,0.09316769987344742,86.80805969238281,5.030579566955566,0.5342696905136108,45.253143310546875,147,breast_cancer,7,10,L2-SP,,0.75,31,0.1065598330001194
1.0,0.29161322116851807,0.09937888383865356,0.10559006035327911,95.90988159179688,5.839817047119141,0.6437113285064697,40.12870788574219,145,breast_cancer,7,10,EWC,,0.75,31,0.12430474699976912
1.0,0.75,0.27950310707092285,0.2732919156551361,48.364990234375,1.0517827272415161,0.297076553106308,46.88859176635742,116,breast_cancer,7,10,Euclidean-MSR,,0.75,6,0.03150459000016781
1.0,0.75,0.38509318232536316,0.3664596378803253,47.411407470703125,1.1352864503860474,0.6640288233757019,36.450172424316406,99,breast_cancer,7,10,MSR,8.0,0.75,7,0.03601947700008168
1.0,12.152471542358398,0.3235294222831726,0.34117648005485535,60.91477584838867,3.849210023880005,0.5655182003974915,35.888694763183594,115,breast_cancer,19,1,FT,,0.75,22,0.032472917000177404
1.0,11.292806625366211,0.43529412150382996,0.4529411792755127,44.48981475830078,2.2898192405700684,0.4456341564655304,30.713491439819336,96,breast_cancer,19,1,L2-SP,,0.75,22,0.0348233340000661
1.0,11.991846084594727,0.43529412150382996,0.4529411792755127,46.47355651855469,2.512650489807129,0.4911022186279297,29.144773483276367,96,breast_cancer,19,1,EWC,,0.75,22,0.03451878600026248
1.0,0.7934674024581909,0.7470588088035583,0.7411764860153198,27.321880340576172,0.5112736225128174,0.21331101655960083,28.691709518432617,43,breast_cancer,19,1,Euclidean-MSR,,0.75,3,0.0039037060000737256
1.0,0.8965712785720825,0.7882353067398071,0.7941176295280457,23.930274963378906,0.5162995457649231,0.3246144950389862,19.77406120300293,36,breast_cancer,19,1,MSR,8.0,0.75,4,0.0040864220000003115
1.0,3.1190617084503174,0.10843373835086823,0.10240963846445084,71.67163848876953,4.6779632568359375,0.5901094675064087,39.69966125488281,148,breast_cancer,19,5,FT,,0.75,22,0.03787099600003785
1.0,3.0329065322875977,0.14457830786705017,0.1265060305595398,65.29925537109375,4.021650791168213,0.49767550826072693,36.792293548583984,142,breast_cancer,19,5,L2-SP,,0.75,22,0.0409170850002738
1.0,3.103299140930176,0.15662650763988495,0.13855421543121338,66.67411041259766,4.202182769775391,0.5464598536491394,33.909000396728516,140,breast_cancer,19,5,EWC,,0.75,22,0.05846732300005897
1.0,0.7500001192092896,0.5722891688346863,0.5421686768531799,35.216373443603516,0.894930362701416,0.22866469621658325,31.31743621826172,71,breast_cancer,19,5,Euclidean-MSR,,0.75,5,0.014150644999972428
1.0,0.7499998211860657,0.5120481848716736,0.4819277226924896,37.94838333129883,1.2229533195495605,0.4234373867511749,26.748376846313477,81,breast_cancer,19,5,MSR,8.0,0.75,10,0.02558892700017168
1.0,3.9211583137512207,0.08695652335882187,0.08074533939361572,86.42865753173828,6.135190010070801,0.6371690630912781,42.075538635253906,147,breast_cancer,19,10,FT,,0.75,22,0.05267131100026745
1.0,3.4845383167266846,0.09937888383865356,0.09316769987344742,78.13117218017578,5.313915252685547,0.5269445180892944,39.21560287475586,145,breast_cancer,19,10,L2-SP,,0.75,22,0.06330907200026559
1.0,3.1938419342041016,0.09937888383865356,0.09316769987344742,81.87721252441406,5.704735279083252,0.591097891330719,37.01716995239258,145,breast_cancer,19,10,EWC,,0.75,22,0.04454587200007154
1.0,0.7499999403953552,0.3478260934352875,0.32919254899024963,42.473819732666016,1.3704191446304321,0.24676811695098877,35.880767822265625,105,breast_cancer,19,10,Euclidean-MSR,,0.75,10,0.03986448700015899
1.0,0.7499998807907104,0.3913043439388275,0.3726707994937897,40.786258697509766,1.3128814697265625,0.47735485434532166,30.813133239746094,98,breast_cancer,19,10,MSR,8.0,0.75,10,0.04437779199997749
1.0,11.775871276855469,0.30588236451148987,0.2764706015586853,90.96121215820312,6.517477035522461,0.6548583507537842,41.23101043701172,118,breast_cancer,31,1,FT,,0.75,22,0.03379764300007082
1.0,8.818273544311523,0.34117648005485535,0.3117647171020508,70.63666534423828,4.744512557983398,0.5390739440917969,36.30641174316406,112,breast_cancer,31,1,L2-SP,,0.75,22,0.0393136540001251
1.0,9.168481826782227,0.3529411852359772,0.3235294222831726,69.03593444824219,4.659996509552002,0.5878279805183411,33.29347610473633,110,breast_cancer,31,1,EWC,,0.75,22,0.03586877599991567
1.0,0.7503132820129395,0.4588235318660736,0.4176470637321472,39.538238525390625,1.261690616607666,0.2486364096403122,37.056129455566406,92,breast_cancer,31,1,Euclidean-MSR,,0.75,3,0.0032506649999959336
1.0,0.8303922414779663,0.5470588207244873,0.5058823823928833,36.260772705078125,1.333630084991455,0.5341747403144836,25.905109405517578,77,breast_cancer,31,1,MSR,8.0,0.75,4,0.004509479999796895
1.0,8.447839736938477,0.23493975400924683,0.20481927692890167,87.46649932861328,6.144725799560547,0.6736953258514404,41.561527252197266,127,breast_cancer,31,5,FT,,0.75,22,0.07900637600005211
1.0,6.762216567993164,0.28313252329826355,0.2530120611190796,71.64482879638672,4.673862457275391,0.5587925314903259,38.399139404296875,119,breast_cancer,31,5,L2-SP,,0.75,22,0.12067117299966412
1.0,8.296012878417969,0.2469879537820816,0.21686747670173645,79.61603546142578,5.463307857513428,0.6254985928535461,36.5307502746582,125,breast_cancer,31,5,EWC,,0.75,22,0.15028075300006094
1.0,0.7500001192092896,0.46987950801849365,0.4397590458393097,39.055519104003906,1.093671441078186,0.25702792406082153,41.74006652832031,88,breast_cancer,31,5,Euclidean-MSR,,0.75,4,0.014453448000040225
1.0,0.7499998807907104,0.41566264629364014,0.3734939694404602,40.11259841918945,1.2839951515197754,0.5356878042221069,38.98469543457031,97,breast_cancer,31,5,MSR,8.0,0.75,10,0.034103820999916934
1.0,1.5299124717712402,0.10559006035327911,0.08695652335882187,76.39990997314453,4.7740302085876465,0.717230498790741,44.9224739074707,144,breast_cancer,31,10,FT,,0.75,22,0.048774930000035965
1.0,1.344482421875,0.12422360479831696,0.08074533939361572,72.99903106689453,4.436633586883545,0.6223257184028625,41.87568283081055,141,breast_cancer,31,10,L2-SP,,0.75,22,0.05818071300018346
1.0,1.6805996894836426,0.11180124431848526,0.08074533939361572,74.50101470947266,4.590888023376465,0.6766855120658875,39.54855728149414,143,breast_cancer,31,10,EWC,,0.75,22,0.048098094999659224
1.0,0.7499999403953552,0.23602484166622162,0.1801242232322693,45.84178161621094,1.4735188484191895,0.28464388847351074,43.43064880371094,123,breast_cancer,31,10,Euclidean-MSR,,0.75,10,0.04432014599979084
1.0,0.75,0.22360248863697052,0.1801242232322693,45.875953674316406,1.5017188787460327,0.5696139335632324,40.49715042114258,125,breast_cancer,31,10,MSR,8.0,0.75,10,0.04770572399957018
